dataset,Chlorophyll_Sensor,Citation,Depth,ENA_BASE_COUNT,ENA_CHECKLIST,ENA_FASTQ_FILES,ENA_SAMPLE,ENA_SAMPLE_BASE_COUNT,ENA_SAMPLE_SPOT_COUNT,ENA_SPOT_COUNT,ENA_STUDY,ENA_SUBMISSION,Environment__Biome_,Environment__Feature_,Environment__Material_,Environmental_Package,Event_Date_Time_End,Event_Date_Time_Start,Event_Label,Further_Details,Last_Update_Date,Latitude_End,Latitude_Start,Longitude_End,Longitude_Start,Marine_Region,Nitrate_Sensor,Oxygen_Sensor,Project_Name,Protocol_Label,Salinity_Sensor,Sample_Collection_Device,Sample_Status,Sampling_Campaign,Sampling_Platform,Station,Size_Fraction_Lower_Threshold,Size_Fraction_Upper_Threshold,Temperature,Region,fraction
ERR594415,0.42458,tbd,50,7778229458,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594415,ERS490320,7778229458,40938660,40938660,ERP003708,ERA356219,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-09-14T15:07,2010-09-14T13:30,TARA_20100914T1330Z_068_EVENT_PUMP,tbd,2014-05-01Z,-31.0136,-31.026999999999997,4.6932,4.6802,n/a,99999.0,231.683361,Tara Oceans expedition (2009-2013),VIRUS_NUC-Fe_W<-0.22,35.687803,PUMP (High Volume Peristaltic Pump) with ECOTriplet,This version can be used to provide data discovery services,TARA_20100905Z,SV Tara,TARA_068,<,0.22,16.787411,SAO,VIRUS
ERR594414,0.272648,tbd,30,5439934799,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594414,ERS490120,10951012272,56703457,28140396,ERP003708,ERA356219,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-07-12T12:12,2010-07-12T11:03:22,TARA_20100712T1106Z_065_Combined-EVENTS_CAST,tbd,2014-05-01Z,-35.2528,-35.2421,26.317,26.3048,"""(search radius=5 degrees) Marine Province:Agulhas (MRGID:21760),  Marine Province:Northern New Zealand (MRGID:21786), Marine Ecoregion:Natal (MRGID:21805), Marine Ecoregion:Agulhas Bank (MRGID:21806)""",99999.0,206.43725,Tara Oceans expedition (2009-2013),VIRUS_NUC-Fe_W<-0.22,99999.0,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20100624Z,SV Tara,TARA_065,<,0.22,21.81495,IO,VIRUS
ERR594411,0.053173000000000005,tbd,5,7267701393,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594411,ERS490676,7267701393,38151334,38151334,ERP003708,ERA356219,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-11-04T13:25,2010-11-04T10:04,TARA_20101104T1004Z_078_EVENT_PUMP,tbd,2014-05-01Z,-30.1885,-30.1367,-43.2831,-43.2899,n/a,-0.385346,221.47475,Tara Oceans expedition (2009-2013),VIRUS_NUC-Fe_W<-0.22,36.32425,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20101031Z,SV Tara,TARA_078,<,0.22,19.854083,SAO,VIRUS
ERR594410,0.048898000000000004,tbd,5,7023345780,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594410,ERS488558,12880228543,66963246,36430030,ERP003708,ERA356219,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-01-09T11:20,2010-01-09T07:15,TARA_20100109T0715Z_031_EVENT_PUMP,tbd,2014-05-01Z,27.1433,27.15,34.835,34.8033,(search radius=5 degrees) Marine Ecoregion:Northern and Central Red Sea (MRGID:21919),-0.137284,188.763583,Tara Oceans expedition (2009-2013),VIRUS_NUC-Fe_W<-0.22,39.981867,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20100108Z,SV Tara,TARA_031,<,0.22,25.0621,RS,VIRUS
ERR594413,0.388348,tbd,80,11726672103,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594413,ERS489148,11726672103,60004302,60004302,ERP003708,ERA356219,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-04-04T11:50,2010-04-04T09:50,TARA_20100404T0950Z_042_EVENT_PUMP,tbd,2014-05-01Z,5.9997,5.9998,73.914,73.9067,"""(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Maldives (MRGID:21835)""",0.569531,132.77885,Tara Oceans expedition (2009-2013),VIRUS_NUC-Fe_W<-0.22,35.103505,PUMP (High Volume Peristaltic Pump) with ECOTriplet,This version can be used to provide data discovery services,TARA_20100327Z,SV Tara,TARA_042,<,0.22,27.723425,IO,VIRUS
ERR594412,0.28167,tbd,5,9015989757,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594412,ERS492160,9015989757,45818926,45818926,ERP003708,ERA356219,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-05-12T17:50,2011-05-12T14:00,TARA_20110512T1400Z_109_EVENT_PUMP,tbd,2014-05-01Z,2.0596,1.9928,-84.55299999999998,-84.5766,"""(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Cocos Islands (MRGID:21970)""",1.210114,198.63583300000002,Tara Oceans expedition (2009-2013),VIRUS_NUC-Fe_W<-0.22,33.3676,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20110509Z,SV Tara,TARA_109,<,0.22,27.617558000000002,SPO,VIRUS
ERR599009,0.310844,tbd,5,16284990371,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599009,ERS490885,26561965953,134447282,82951389,ERP001736,ERA357871,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-12-06T11:45,2010-12-06T10:33,TARA_20101206T1033Z_082_EVENT_PUMP,tbd,2014-05-01Z,-47.1906,-47.1863,-58.2682,-58.2902,(search radius=5 degrees) Marine Ecoregion:Malvinas/Falklands (MRGID:21890),17.091069,305.012167,Tara Oceans expedition (2009-2013),BACT_NUC-RNA(10L-or-10min)_W0.22-3,34.048642,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20101126Z,SV Tara,TARA_082,0.22,3.0,7.321517,SAO,BACT
ERR599008,0.010087,tbd,790,32263640743,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599008,ERS491110,39833106690,203831621,165789358,ERP001736,ERA357871,marine biome (ENVO:00000447),mesopelagic zone (ENVO:00000213),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-01-07T12:55,2011-01-07T10:39:47,TARA_20110107T1041Z_085_Combined-EVENTS_CAST,tbd,2014-05-01Z,-61.9898,-61.9689,-49.3613,-49.5017,"""(search radius=5 degrees) Marine Province:Scotia Sea (MRGID:21742), Marine Ecoregion:South Orkney Islands (MRGID:21928)""",38.821249,203.8394,Tara Oceans expedition (2009-2013),BACT_NUC-DNA(100L)_W0.22-3,34.679959999999994,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20101231Z,SV Tara,TARA_085,0.22,3.0,0.45883,SO,BACT
ERR594329,0.434367,tbd,55,35243308181,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594329,ERS488147,41254561541,208276637,178517957,ERP001737,ERA356217,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2009-09-28T19:36,2009-09-28T16:59,TARA_20090928T1659Z_009_EVENT_PUMP,tbd,2014-05-01Z,39.0857,39.0609,5.8215,5.9422,(search radius=5 degrees) Marine Ecoregion:Western Mediterranean (MRGID:21896),99999.0,99999.0,Tara Oceans expedition (2009-2013),GIRUS_NUC-dry_W0.22-1.6,37.8232,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20090926Z,SV Tara,TARA_009,0.22,1.6,16.151933,MS,GIRUS
ERR594328,0.186697,tbd,5,21048737744,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594328,ERS488658,21048737744,104201672,104201672,ERP001737,ERA356217,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-01-20T08:30,2010-01-20T04:27,TARA_20100120T0427Z_034_EVENT_PUMP,tbd,2014-05-01Z,18.4017,18.3967,39.855,39.875,"""(search radius=5 degrees) Marine Province:Red Sea and Gulf of Aden (MRGID:21776), Marine Ecoregion:Southern Red Sea (MRGID:21918)""",-0.9270870000000002,184.06116699999998,Tara Oceans expedition (2009-2013),GIRUS_NUC-dry_W0.1-0.22,38.646858,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20100108Z,SV Tara,TARA_034,0.1,0.22,27.59865,RS,GIRUS
