Strain	accession	gene	original_header	seq_type	tax	vsearch_hash	len
MIT9107	AF001490	petB	Prochlorococcus sp. MIT9107 cytochrome b6 (petB) and b6/f complex subunit IV (petD) genes, partial cds	petB_Pro_HLII|HLIIB	MIC	ec11479e5033b50dcfe071f9615689b6	442
NATL2A	AF001489	petB	Prochlorococcus sp. NATL2A cytochrome b6 (petB) and b6/f complex subunit IV (petD) genes, partial cds	petB_Pro_LLI|LLIA	MIC	28a70d8cb6fe220667d8d6add52f3f47	470
EnvTARA094	KU377990	petB	Uncultured Prochlorococcus sp. clone EnvTARA094 cytochrome b6 (petB) gene, complete cds	petB_Pro_LLIV|LLIVA	MIC	bc5a1dea2d01b6d94b2328ffe4c37bdb	657
EnvTARA009	KU377989	petB	Uncultured Synechococcus sp. clone EnvTARA009 cytochrome b6 (petB) gene, complete cds	petB_Syn_CRD1|CRD1C	MIC	dd292db73c1da568d90b67f08eb9c671	657
NS01	KU377988	petB	Cyanobium sp. NS01 cytochrome b6 (petB) gene, complete cds	petB_Syn_5_2|5.2A	MIC	3ce768d2e0037a55c923a5d23f166246	672
BIOS-E4-1	KU377987	petB	Synechococcus sp. BIOS-E4-1 cytochrome b6 (petB) gene, complete cds	petB_Syn_CRD1|CRD1C	MIC	7d7adf5307bfa30ef577e5d5abc24106	657
BIOS-U3-1	KU377986	petB	Synechococcus sp. BIOS-U3-1 cytochrome b6 (petB) gene, complete cds	petB_Syn_CRD1|CRD1B	MIC	2bb0e0f040a350821d738303078a2ea3	657
BMK-MC-1	KU377985	petB	Synechococcus sp. BMK-MC-1 cytochrome b6 (petB) gene, complete cds	petB_Syn_V|VA	MIC	068af7ceb393e59798680baf3f6d74c2	657
BOUM118	KU377984	petB	Synechococcus sp. BOUM118 cytochrome b6 (petB) gene, complete cds	petB_Syn_III|IIIA	MIC	8b64b66e3c9274c3652ac028d0e37a77	657
MINOS11	KU377983	petB	Synechococcus sp. Minos11 cytochrome b6 (petB) gene, complete cds	petB_Syn_5_3|5.3A	MIC	69c5a9eea15af33de8e1539ece18f49e	657
NOUM97013	KU377982	petB	Synechococcus sp. NOUM97013 cytochrome b6 (petB) gene, complete cds	petB_Syn_VII|VIIA	MIC	9dd69d62ec87bfc4707f5fcf2b61a0db	657
EnvTARA001	KU377981	petB	Uncultured Prochlorococcus sp. clone EnvTARA001 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLIV|LLIVA	MIC	084aa1055134b0007c181235f7f14a47	557
EnvTARA002	KU377980	petB	Uncultured Prochlorococcus sp. clone EnvTARA002 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLIV|LLIVA	MIC	b896a20b40d896d7672503fbadd6af4a	557
EnvTARA003	KU377979	petB	Uncultured Prochlorococcus sp. clone EnvTARA003 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLIV|LLIVA	MIC	175449828c87d415d41c1d1c749a976c	566
EnvTARA004	KU377978	petB	Uncultured Prochlorococcus sp. clone EnvTARA004 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLIV|LLIVA	MIC	b821292f7d6a27395cba29acf00ecb8f	566
EnvTARA005	KU377977	petB	Uncultured Prochlorococcus sp. clone EnvTARA005 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLII_III|LLII-IIIA	MIC	e3fecbe576198cb6c657d257b10939b4	558
EnvTARA007	KU377976	petB	Uncultured Prochlorococcus sp. clone EnvTARA007 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLII_III|LLII-IIIA	MIC	d325456fe7ef399a6747d285fdb56d80	600
